,Abbreviation,FullForm
2011,ihtutbr ,I have to use the bathroom
2012,ihu ,I hate you
2013,ihurg ,i hate your guts
2014,ihusb ,i hate you so bad 
2015,ihusfm ,i hate you so f**king much
2016,ihusm ,i hate you so much
2017,ihy ,i hate you
2018,ihya ,i hate you all
2019,ihysm ,I hate you so much
2020,ihysmrn ,i hate you so much right now
2021,iigh ,alright
2022,iight ,alright
2023,iiok ,is it okay
2024,iirc ,if I recall correctly
2025,iistgtbtipi ,If It Sounds Too Good To Be True It Probably Is
2026,iit ,is it tight
2027,iitywimwybmad ,if I tell you what it means will you buy me a drink
2028,iitywybmad ,"if I tell you, will you buy me a drink?"
2029,iiuc ,if I understand correctly
2030,iiw2 ,is it web 2.0?
2031,iiwii ,it is what it is
2032,ij ,indide joke
2033,ijaf ,it's just a fact
2034,ijcomk ,i just came on my keyboard
2035,ijdk ,I just don't know
2036,ijdl ,I just died laughing
2037,ijeomk ,I just ejaculated on my keybord
2038,ijf ,i just farted
2039,ijgl ,I just got laid
2040,ijit ,idiot
2041,ijk ,I'm Just kidding
2042,ijp ,Internet job posting
2043,ijpmp ,I just peed my pants
2044,ijpms ,I just pissed myself
2045,ijr ,i just remembered
2046,ijs ,I'm just saying
2047,ijsabomomcibstg ,I just saved a bunch of money on my car insurance by switching to geico
2048,ik ,i know
2049,iki ,i know it
2050,ikic ,I know I can
2051,ikm ,I know man
2052,ikr ,I know really
2053,ikt ,i knew that
2054,ikwud ,I know what you did
2055,ikwum ,I know what you meant
2056,ikwyl ,I know where you live
2057,ikwym ,i know what you mean
2058,ilbbaicnl ,I like big butts and I can not lie
2059,ilbcnu ,i'll be seeing you
2060,ilcul8r ,I'll see you later
2061,ilhsm ,i love him/her so much
2062,ili ,i love it
2063,ilk2fku ,I would like to f**k you
2064,ilml ,I Love My Life
2065,ilms ,I love my self
2066,ilotibinlirl ,"I'm laughing on the internet, but I'm not laughing in real life"
2067,ilshipmp ,I laughed so hard I peed my pants
2068,iltf ,i love to f**k
2069,iltwummf ,i love the way you make me feel
2070,iltwymmf ,I love the way you make me feel
2071,ilu ,I love you
2072,ilu2 ,I love you too
2073,iluaaf ,i love you as a friend
2074,ilul ,I love you loads 
2075,ilulafklc ,I love you like a fat kid loves cake.
2076,ilum ,i love you more
2077,ilusfm ,I love you so f**king much
2078,ilusm ,I love you So much
2079,iluvm ,I Love You Very Much
2080,iluvu ,i love you
2081,iluvya ,i love you
2082,iluwamh ,i love you with all my heart
2083,ilvu ,i love you
2084,ily ,i love you
2085,ily2 ,i love you too
2086,ily4e ,i love you forever
2087,ily4ev ,i love you forever
2088,ilyaas ,I Love You As A Sister
2089,ilyal ,I like you a lot
2090,ilyb ,i love you b***h
2091,ilybby ,i love you baby
2092,ilybtid ,I Love You But Then I Don't
2093,ilyf ,I'll Love You Forever
2094,ilygsm ,i love you guys so much
2095,ilykthnxbai ,i love you k thanks bye
2096,ilyl ,i love you loads
2097,ilylab ,I love you like a brother
2098,ilylabf ,I love you like a best friend
2099,ilylafklc ,i love you like a fat kid loves cake
2100,ilylas ,i love you like a sister
2101,ilylc ,i love you like crazy
2102,ilym , i love you more
2103,ilymtyk ,i love you more than you know
2104,ilymtylm ,i love you more than you love me
2105,ilys ,i love you sexy
2106,Ilysb ,I love you so bad
2107,ilysfm ,i love you so f**king much
2108,ilysfmb ,i love you so f**king much baby
2109,ilysm ,i love you so much
2110,ilysmih ,i love you so much it hurts
2111,ilysmm ,i love you so much more
2112,ilysmydek ,I Love You So Much You Don't Even Know
2113,ilysvm ,i love you so very much
2114,ilyvm ,i love you very much
2115,ilywamh ,I love you with all my heart
2116,im ,Instant Message
2117,im'd ,instant messaged
2118,im26c4u ,I am too sexy for you
2119,ima ,I am a
2120,imao ,in my arrogant opinion
2121,imb ,I am back
2122,imcdo ,in my conceited dogmatic opinion
2123,imed ,instant messaged
2124,imfao ,In My f**king Arrogant Opinion
2125,imfo ,in my f**king opinion
2126,imh ,I am here
2127,imhbco ,In my humble but correct opinion
2128,imhe ,in my humble experience
2129,imho ,in my humble opinion
2130,imm ,instant message me
2131,imma ,I'm going to
2132,imnerho ,In my not even remotely humble opinion
2133,imnl ,I'm not laughing
2134,imnshmfo ,In My Not So Humble Mother f**king Opinion
2135,imnsho ,in my not so humble opinion
2136,imo ,in my opinion
2137,imoo ,in my own opinion
2138,impo ,In My Personal Opinion
2139,impov ,in my point of view
2140,imr ,in my room
2141,imsb ,i am so bored
2142,imsry ,I am sorry
2143,imtaw ,it may take a while
2144,imts ,I meant to say
2145,imu ,i miss you 
2146,imusm ,I miss you so much
2147,imvho ,in my very humble opinion
2148,imwtk ,Inquiring minds want to know
2149,imy ,I miss you
2150,imy2 ,i miss you to
2151,imya ,i miss you already
2152,imysfm ,i miss you so f**king much
2153,in2 ,into
2154,inb4 ,in before
2155,inbd ,it's no big deal
2156,incld ,include
2157,incrse ,increase
2158,ind2p ,I need to pee
2159,indie ,independent
2160,inef ,it's not even funny
2161,inet ,internet
2162,inh ,I need help
2163,inho ,in my honest opinion
2164,inhwh ,I need homework help
2165,init ,isn't it
2166,inmp ,it's not my problem
2167,innit ,isn't it
2168,ino ,I know
2169,instagib ,instant kill
2170,instakill ,instant kill
2171,intarwebs ,internet
2172,intel ,intelligence
2173,interweb ,internet
2174,intpftpotm ,I nominate this post for the post of the month
2175,inttwmf ,I am Not Typing This With My Fingers
2176,invu ,I envy you
2177,ioh ,I'm out of here
2178,iois ,Indicators of Interest
2179,iokiya ,it's ok if you are
2180,iomw ,I'm on my way
2181,ionno ,I don't know
2182,iono ,I don't know
2183,iotd ,image of the day
2184,iou ,i owe you
2185,iow ,in other words
2186,ioya ,I'd Own Your Ass
2187,ioyk ,if only you knew
2188,ip ,internet protocol
2189,irc ,internet relay chat
2190,ircd ,Internet Relay Chat daemon
2191,ircx ,Internet Relay Chat eXtension
2192,irdc ,I really don't care
2193,irdgaf ,i really don't give a f**k
2194,irdk ,I really don't know
2195,irgtgbtw ,I've really got to get back to work
2196,irhtgttbr ,I really have to go to the bathroom
2197,irhy ,i really hate you
2198,irl ,in real life
2199,irly ,I really love you
2200,irt ,in reply to
2201,irtf ,I'll return the favor
2202,is2g ,i swear to god
2203,isb ,I'm so bored.
2204,isbya ,im sorry but you asked
2205,isd ,internet slang dictionary
2206,isdc ,I so don't care
2207,ise ,internal server error
2208,isfly ,i so f**king love you
2209,isg ,I speak geek
2210,ishii ,i see how it is
2211,isianmtu ,I swear I am not making this up
2212,isj ,inside joke
2213,iso ,In Search Of
2214,isp ,internet service provider
2215,iss ,im so sorry
2216,istg ,i swear to god
2217,istr ,I seem to remember
2218,istwfn ,I stole this word from noslang.com
2219,iswydt ,i see what you did there
2220,ita ,I Totally Agree
2221,itb ,in the butt
2222,itc ,in that case
2223,itd ,in the dark
2224,ite ,alright
2225,itk ,in the know
2226,itn ,I think not
2227,itt ,in this thread
2228,ittif ,I think that is fine
2229,ityltk ,I thought you'd like to know
2230,itys , i told you so
2231,itz ,it's
2232,itzk ,it's ok
2233,iucmd ,if you catch my drift
2234,iukwim ,if you know what i mean
2235,iunno ,I don't know
2236,iuno ,i dunno
2237,ive ,i have
2238,iw2f ,i want to f**k
2239,iw2fu ,i want to f**k you
2240,iw2mu ,I want to meet you
2241,iwaa ,It was an accident
2242,iwbrbl@r ,I will be right back later
2243,iwc ,In Which Case
2244,iwfusb ,i wanna f**k you so bad
2245,iwfy ,I want to f**k you
2246,iwfybo ,i will f**k your brains out
2247,iwg ,it was good
2248,iwhi ,I would hit it
2249,iwhswu ,I want to have sex with you
2250,iwjk ,i was just kidding
2251,iwk ,I wouldn't know
2252,iwlu4e ,I will love you for ever
2253,iwmu ,i will miss you
2254,iwmy ,i will miss you
2255,iws ,i want sex
2256,iwsn ,i want sex now
2257,iwsul8r ,I will see you later
2258,iwtfu ,i want to f**k you
2259,iwtfy ,i want to f**k you
2260,iwthswy ,i want to have sex with you
2261,iwtk ,I Want to Know
2262,iwtly ,i want to love you
2263,iwu ,i want you
2264,iwuwh ,i wish you were here 
2265,iwy ,i want you
2266,iwyb ,I want your body
2267,iwyn ,I want you now
2268,iwythmb ,i want you to have my baby
2269,iya ,In your ass
2270,iyam ,if you ask me
2271,iyc ,if you can
2272,iyd ,In Your Dreams
2273,iydhantsdsaaa ,If you don't have anything nice to say don't say anything at all
2274,iydmma ,if you don't mind me asking
2275,iyf ,In your face
2276,iyflg ,If You're Feeling Less Generous
2277,iygm ,if you get me
2278,iykwim ,if you know what I mean
2279,iym ,I am your man
2280,iyo ,in your opinion
2281,iyq ,I like you
2282,iyss ,if you say so
2283,iyswim ,if you see what I mean
2284,iywt ,if you want to
2285,iz ,is
2286,j-c ,just chilling
2287,j/a ,Just Asking
2288,j/c ,just curious
2289,j/j ,just joking
2290,j/k ,just kidding
2291,j/o ,jackoff
2292,j/p ,just playing
2293,j/s ,just saying
2294,j/t ,just talking
2295,j/w ,just wondering
2296,j00 ,you
2297,j00r ,your
2298,j2bs ,just to be sure
2299,j2c ,just too cute
2300,j2f ,just too funny
2301,j2luk ,just to let you know
2302,j2lyk ,just to let you know
2303,j4f ,just for fun
2304,j4g ,just for grins
2305,j4l ,just for laughs
2306,j4u ,just for you
2307,jalaudlm ,just as long as you don't leave me
2308,jas ,just a second
2309,jb ,jailbait
2310,jbu ,just between us
2311,jc ,just curious
2312,jcam ,just checking away message
2313,jcath ,Just chilling at the house
2314,jdfi ,Just f**king do it
2315,jdi ,just do it
2316,jebus ,Jesus
2317,jeomk ,Just ejaculated on my keyboard
2318,jf ,just fooling
2319,jfc ,Jesus f**king Christ
2320,jfdi ,Just f**king Do It!
2321,jff ,just for fun
2322,jfg ,just for giggles
2323,jfgi ,just f**king google it
2324,jfi ,just forget it
2325,jfj ,jump for joy
2326,jfk ,Just f**king kidding
2327,jfl ,just for laughs
2328,jflts ,just felt like typing something
2329,jfn ,just for now
2330,jfo ,just f**k off
2331,jfr ,Just for reference
2332,jftr ,just for the record
2333,jfu ,just for you
2334,jfwy ,just f**king with you
2335,jg2h ,just go to hell
2336,jgiyn ,Just google it you noob
2337,jgtfooh ,just get the f**k out of here
2338,jh ,Just hanging
2339,jhm ,just hold me
2340,jho ,just hanging out
2341,jic ,just in case
2342,jit ,just in time
2343,jizz ,semen
2344,jj ,just joking
2345,jj/k ,just joking
2346,jja ,just joking around
2347,jk ,just kidding
2348,jka ,just kidding around
2349,jking ,joking
2350,jkl ,just kidding loser
2351,jklol ,Just Kidding Laughing Out Loud
2352,jkn ,joking
2353,jks ,jokes
2354,jkz ,jokes
2355,jlma ,just leave me alone
2356,jlt ,just like that
2357,jm ,Just Messing
2358,jma ,just messing around
2359,jml ,just my luck
2360,jmo ,just my opinion
2361,jms ,just making sure
2362,jom ,just one minuite
2363,joo ,you
2364,jooc ,just out of curiosity
2365,jooce ,Juice
2366,joor ,your
2367,jp ,just playing
2368,js ,just saying
2369,jsa ,just stop already
2370,jsing ,just saying
2371,jst ,just
2372,jsuk ,just so you know
2373,jsun ,Just so you know
2374,jsut ,just
2375,jsyk ,Just so you know
2376,jsyn ,just so you know
2377,jtay ,just thinking about you
2378,jtbs ,Just To Be Sure
2379,jtc ,Join the club
2380,jtfo ,joke the f**k out
2381,jtluk ,just to let you know
2382,jtlyk ,just to let you know
2383,jtoi ,just thought of it
2384,jtol ,just thinking out loud
2385,jttsiowctw ,just testing to see if other websites copy this word
2386,jtty ,just to tell you
2387,jtumltk ,just thought you might like to know
2388,jtwii ,just the way it is.
2389,jtwiw ,just the way it was.
2390,jtyltk ,just thought you'd like to know
2391,jtysk ,just thought you should know
2392,jumping the couch ,acting strange
2393,jus ,just
2394,juss ,just
2395,juz ,just
2396,juzt ,just
2397,jw ,just wondering
2398,jw2k ,just wanted to know
2399,jwas ,just wait a second
2400,jwing ,just wondering
2401,jwtlyk ,Just wanted to let you know
2402,jyfihp ,jam your finger in her p***y
2403,k ,ok
2404,k3wl ,cool
2405,ka ,Kick Ass
2406,kafn ,kill all f**king noobs
2407,kah ,kisses and hugs
2408,kaw ,kick ass work
2409,kay ,okay
2410,kb ,KiloBite
2411,kcco ,keep calm chive on
2412,kek ,laughing out loud
2413,kewel ,cool
2414,kewl ,cool
2415,kfc ,kentucky fried chicken
2416,khitbash ,kick her in the box and shove her
2417,khuf ,know how you feel
2418,kia ,Killed In Action
2419,kib ,"okay, im back"
2420,kic ,keep it clean
2421,kicks ,sneakers
2422,kig ,keep it going
2423,kiled ,killed
2424,kinda ,kind of
2425,kir ,kid in room
2426,kis ,keep it simple
2427,kisa ,knight in shining armor
2428,kit ,keep in touch
2429,kitfo ,knock it the f**k off
2430,kitteh ,kitten
2431,kiu ,Keep it up
2432,kiwf ,Kill It With Fire
2433,kk ,ok
2434,kkk ,ku klux klan
2435,kkthnxbye ,okay thanks bye
2436,kky ,kinky
2437,kl ,cool
2438,km ,kiss me
2439,kma ,kiss my ass
2440,kmag ,kiss my ass goodbye
2441,kmao ,kick my ass off
2442,kmb ,kiss my butt
2443,kmfa ,kiss my f**king ass
2444,kmhba ,kiss my hairy big ass
2445,kml ,Killing Myself Laughing
2446,kmn ,kill me now
2447,kmp ,kill me please
2448,kmsl ,killing myself laughing
2449,kmswl ,killing myself with laughter
2450,kmu ,Kinda miss you
2451,knackered ,drunk
2452,knewb ,new player
2453,knn ,f**k your mother
2454,kno ,know
2455,knw ,know
2456,ko ,knock out
2457,kol ,kiss on lips
2458,koo ,cool
2459,kool ,cool
2460,kos ,kid over shoulder
2461,kotc ,kiss on the cheek
2462,kotd ,kicks of the day
2463,kotl ,kiss on the lips
2464,kotor ,Knights of the old republic
2465,kots ,keep on talking s**t
2466,kpc ,keeping parents clueless
2467,kq ,keep quiet 
2468,ks ,kill steal
2469,kss ,kiss
2470,kssd ,kissed
2471,ksw ,Ok so what
2472,kt ,keep talking
2473,ktc ,kill the cat
2474,ktfo ,knocked the f**k out
2475,kthanxbi ,"Okay, thanks. Bye."
2476,kthnxbai ,"Okay, thanks, bye"
2477,kthnxbye ,"Okay, thanks, bye"
2478,kthx ,"ok, thank you"
2479,kthxbai ,ok thanks bye!
2480,kthxbi ,"ok, thank you, goodbye"
2481,kthxbye ,"ok, thank you, goodbye"
2482,kthxbye ,"ok, thank you, goodbye"
2483,kthxgb ,ok thanks goodbye
2484,kthxmn ,Ok Thanks Man
2485,kthz ,ok thanks
2486,ktnx ,Okay and Thanks
2487,kuhl ,cool
2488,kul ,cool
2489,kute ,cute
2490,kutgw ,Keep Up The good Work
2491,kuwl ,cool
2492,kwik ,quick
2493,kwim ,Know What I Mean
2494,kwis ,Know what I'm saying?
2495,kwit ,quit
2496,kwiz ,quiz
2497,kwl ,cool
2498,kwtsds ,Kiss where the sun don't shine
2499,kyag ,Kiss Your Ass Goodbye
2500,kyfag ,kiss your f**king ass goodbye
2501,kyfc ,keep your fingers crossed
2502,kyko ,keep your knickers on
2503,kyms ,keep your mouth shut
2504,kys ,kill yourself
2505,ilyt ,i love you too
2506,ilyttmab ,i love you to the moon and back
2507,l0lz ,laugh out loud
2508,l2 ,learn to
2509,l2m ,listening to music
2510,l2ms ,laughing to myself
2511,l2p ,learn to play
2512,l2r ,Learn to read
2513,l337 ,elite
2514,l33t ,elite
2515,l4m3rz ,lamers
2516,l8 ,late
2517,l84skool ,late for school
2518,l8a ,later
2519,l8er ,later
2520,l8ers ,Later
2521,l8r ,see you later
2522,l8rs ,laters
2523,l8rz ,later
2524,l8s ,later
2525,l8t ,later
2526,l8ta ,later
2527,l8ter ,later
2528,l8tr ,later
2529,l@u ,laughing at you
2530,laff ,laugh
2531,lafs ,love at first sight
2532,lak ,love and kisses
2533,lal ,laughing a little
2534,lalol ,lots and lots of laughs
2535,lam ,leave a message
2536,lamf ,like a motherf**ker
2537,lan ,local area network
2538,lappy ,Laptop
2539,larp ,live action role-play
2540,lasb ,Lame Ass Stupid b***h
2541,lat ,laugh at that
2542,lata ,later
2543,lates ,later
2544,latn ,laugh at the newbs
2545,latr ,Later
2546,latwttb ,laughing all the way to the bank
2547,lau ,laugh at you
2548,lawd ,lord
2549,lawl ,lauging out loud with a southern drawl
2550,lawl'd ,laughed out loud
2551,lawled ,laughed out loud
2552,lawls ,laughing out loud with a southern drawl
2553,lawlz ,laughing out loud with a southern drawl
2554,lazer ,laser
2555,lazor ,laser
2556,lbh ,let's be honest
2557,lbnr ,laughing but not really
2558,lbo ,laughing butt off 
2559,lbr ,little boy's room
2560,lbvs ,laughing but very serious
2561,lcsnpc ,low cost small notebook personal computer
2562,ldr ,Long-distance relationship
2563,lee7 ,elite
2564,leet ,elite
2565,legit ,legitimate
2566,leik ,like
2567,leme ,let me
2568,lemme ,let me
2569,lesbo ,lesbian
2570,less than 3 ,love
2571,less than three ,love
2572,lez ,Lesbian
2573,lezbean ,lesbian
2574,lezbo ,lesbian
2575,lezzzie ,lesbian
2576,lf ,looking for
2577,lf1m ,Looking for one more
2578,lf2m ,looking for 2 more
2579,lfg ,Looking for group
2580,lfl ,let's f**k later
2581,lfm ,looking for mate
2582,lfnar ,laughing for no aparent reason
2583,lfp ,looking for p***y
2584,lfr ,Laughing for real
2585,lgb ,lesbian/gay/bisexual
2586,lgbnaf ,lets get butt naked and f**k
2587,lgbtq ,"Lesbien, Gay, Bisexual, Transgender and Queer."
2588,lgds ,let's go do something
2589,lgf ,little green footballs
2590,lggd ,let's go get drunk
2591,lgn ,link goes nowhere
2592,lgo ,life goes on
2593,lgot ,let's go out tonight
2594,lgr ,little girls room
2595,lgs ,let's go shopping!
2596,lgtm ,looks good to me
2597,lhao ,laughing her ass off
2598,lhs ,lets have sex
2599,lhsrn ,let's have sex right now
2600,lia ,life is awesome
2601,liaoyb ,Like it's any of your business
2602,lic ,like i care
2603,liec ,like i even care
2604,liek ,like
2605,liekz ,likes
2606,lifo ,last in first out
2607,ligad ,Like I give a damn
2608,ligaff ,like I give a flying f**k
2609,ligafs ,like I give a flying s**t
2610,ligas ,like I give a s**t
2611,lih ,Laugh in head
2612,liita ,love is in the air
2613,lik ,like
2614,lil ,little
2615,lim ,Like it Matters
2616,limh ,laugh in my head
2617,liol ,laugh insanely out loud
2618,lirl ,laughing in real life
2619,liu ,Look It Up
2620,liv ,live
2621,liyf ,laughing in your face
2622,lj ,live journal
2623,lk ,like
2624,lke ,like
2625,llab ,Laughing like a b***h.
2626,llap ,live long and prosper
2627,llc ,laughing like crazy
2628,llf ,laugh like f**k
2629,llh ,laughing like hell
2630,llol ,literally laughing out loud
2631,lltnt ,live like theres no tomorrow 
2632,lm4aq ,Let's meet for a quickie.
2633,lma ,leave me alone
2634,lmamf ,leave me alone mother f**ker
2635,lmao ,laughing my ass off
2636,lmaol ,laughing my ass out loud
2637,lmaomtoaoa ,Laugh my ass off many times over and over again
2638,lmaonade ,laughing my ass off
2639,lmaool ,laughing my ass off out loud 
2640,lmaootf ,Laughing my ass off on the floor 
2641,lmaorof ,Laughing my Ass off Rolling on the floor
2642,lmaorotf ,laughing my ass off rolling on the floor
2643,lmaowrotf ,Laughing my ass of while rolling on the floor
2644,lmaowtntpm ,laughing my ass off whilst trying not to piss myself
2645,lmaoxh ,laughing my ass off extremely hard
2646,lmap ,leave me alone please
2647,lmb ,lick my balls
2648,lmbao ,laughing my black ass off
2649,lmbfwao ,laughing my big fat white ass off
2650,lmbo ,laughing my butt off
2651,lmcao ,laughing my crazy ass off
2652,lmclao ,laughing my cute little ass off
2653,lmd ,Lick My d**k
2654,lmfao ,laughing my f**king ass off
2655,lmfbo ,laugh my f**king butt off
2656,lmffao ,laughing my f**king fat ass off
2657,lmffo ,Laughing my f**king face off
2658,lmfho ,laughing my f**king head off
2659,lmfo ,laughing my face off
2660,lmfpo ,laughing my f**king p***y off
2661,lmfr ,Lets Meet For Real
2662,lmfto ,laughing my f**kin tits off
2663,lmg ,let me guess
2664,lmgdao ,Laughing My God Damn Ass Off
2665,lmgtfy ,Let me Google that for you
2666,lmhao ,laughing my hairy ass off
2667,lmho ,laughing my heiny off
2668,lmip ,LETS MEET IN PERSON
2669,lmirl ,Let's meet in real life
2670,lmk ,let me know
2671,lmks ,Let Me Know Soon
2672,lmkwc ,Let me know when clear
2673,lmkwut ,let me know what you think
2674,lml ,love my life
2675,lmmfao ,laughing my mother f**king ass off
2676,lmmfaos ,laughing my mother f**king ass off silly
2677,lmmfas ,laugh my mother f**kin ass off
2678,lmmffao ,laughing my mother f**king fat ass off
2679,lmo ,Leave Me One
2680,lmoao ,Laughing my Other Ass Off
2681,lmp ,lick my p***y
2682,lmpitw ,let me put it this way
2683,lmpo ,laughing my panties off
2684,lms ,leave me some
2685,lmsao ,laughing my sexy ass off
2686,lmso ,laughing my socks off
2687,lmtd ,limited
2688,lmtfa ,leave me the f**k alone
2689,lmto ,laughing my tits off
2690,lmtus ,let me tell you something
2691,lmty ,laughing more than you
2692,lmvo ,laugh my vagina off
2693,ln ,last name
2694,lnk ,Link
2695,lobfl ,Laugh Out Bloody f**king Loud
2696,lobl ,laugh out bloody loud
2697,lof ,Laughing on floor
2698,lofi ,uncool
2699,lofl ,laugh out f**king loud
2700,loflmao ,laying on floor laughing my ass off
2701,loi ,laughing on the inside
2702,lol ,laughing out loud
2703,lol'd ,laughed out loud
2704,lol2u ,Laugh out loud to you
2705,lol@u ,Laugh out loud at you
2706,lolarotf ,laughing out loud and rolling on the floor
2707,lolaw ,laugh out loud at work
2708,lolbs ,laugh out loud but seriously
2709,lolcano ,laugh out loud
2710,lolci ,"laughing out loud, crying inside"
2711,lolcity ,the whole city laughs out loud
2712,lold ,laughed out loud
2713,lolees ,laugh out loud
2714,lolerz ,laugh out loud
2715,lolf ,lots of love forever
2716,lolin ,laughing out loud
2717,lolio ,laugh out loud I own
2718,lollam ,Laughing Out Loud Like A Maniac
2719,lollercaust ,an extreme event of hilarity
2720,lollercoaster ,laugh out loud (a lot)
2721,lollerskates ,laughing out loud
2722,lolm ,laugh out loud man
2723,loln ,laught out loud... not
2724,lolngs ,laghing out loud never gonna stop
2725,lolocost ,laugh out loud
2726,lolol ,"saying ""lol"" out loud"
2727,lololz ,laugh out loud
2728,lolpimp ,Laughing out loud peeing in my pants
2729,lolq ,laugh out loud quietly
2730,lolrof ,Laughing out loud while rolling on the floor.
2731,lolrotf ,laughing out loud rolling on the floor
2732,lols ,laugh out loud 
2733,lolvq ,laugh out loud very quietly
2734,lolwtime ,laughing out loud with tears in my eyes
2735,lolz ,laugh out loud
2736,lomg ,like oh my god
2737,loml ,love of my life
2738,lomy ,love of my life
2739,loomm ,laughing out of my mind
2740,lorl ,laugh out real loud
2741,lorrl ,laugh out really really loud
2742,lotf ,laughing on the floor
2743,loti ,laughing on the inside
2744,loto ,laughing on the outside
2745,lotr ,lord of the rings
2746,lov ,love
2747,lovu ,love you
2748,loxen ,laughing out loud
2749,loxxen ,laughing out loud
2750,lozer ,loser
2751,lpb ,low ping b*****d
2752,lpiaw ,Large Penis is always welcome
2753,lpms ,life pretty much sucks
2754,lq ,Laughing Quietly
2755,lq2m ,laughing quietly to myself
2756,lqtm ,Laugh quietly to myself
2757,lqtms ,Laughing quietly to myself
2758,lqts ,laughing quietly to self
2759,lrfl ,Laughing really f**king loud
2760,lrh ,laughing really hard
2761,lrqtms ,laughing really quietly to myself
2762,lrt ,last retweet
2763,lsfw ,Less Safe For Work
2764,lshic ,laughing so hard i'm crying
2765,lshid ,laugh so hard i die
2766,lshifabmh ,Laughing so hard I fell and broke my hip
2767,lshipmp ,Laughing so Hard I Piss My Pants
2768,lshismp ,laughed so hard I s**t my pants
2769,lshiwms ,laughing so hard I wet myself
2770,lshmson ,laughing so hard milk shot out nose
2771,lshrn ,laughing so hard right now
2772,lsmih ,laughing so much it hurts
2773,lsr ,loser
2774,lsudi ,Lets see you do it
2775,lt ,long time
2776,ltb ,looking to buy
2777,lthtt ,laughing too hard to type
2778,ltip ,laughting until I puke
2779,ltl ,Let's talk later
2780,ltm ,listen to me
2781,ltmq ,Laugh To Myself Quietly
2782,ltms ,Laughing to my self
2783,ltnc ,Long time no see
2784,ltns ,long time no see
2785,ltnsoh ,"Long time, no see or hear"
2786,ltnt ,long time no talk
2787,ltp ,Lay the pipe
2788,ltr ,later
2789,lttpot ,laughing to the point of tears
2790,ltw ,Lead The Way
2791,ltywl ,love the way you lie
2792,lu2 ,love you too
2793,lu2d ,love you to death
2794,lu4l ,love you for life
2795,lub ,laugh under breath
2796,luf ,love
2797,luff ,Love
2798,lug ,lesbian until graduation
2799,luk ,look
2800,lukin ,looking
2801,lul ,love you lots
2802,lulab ,Love you like a brother
2803,lulas ,Love You Like a Sister
2804,lulz ,Laughing out loud.
2805,lumumi ,Love you miss you mean it
2806,lurker ,one who reads but doesn't reply
2807,lurve ,love
2808,luser ,user who is a loser
2809,lusm ,love you so much
2810,luv ,love
2811,luver ,lover
2812,luvuvm ,love you very much
2813,luvv ,love
2814,luzar ,Loser
2815,lv ,love
2816,lve ,Love
2817,lvl ,level
2818,lvn ,loving
2819,lvr ,lover
2820,lvya ,love you
2821,lwih ,look what I have
2822,lwn ,last week's news
2823,lwwy ,Live While We\'re Young
2824,ly ,love you
2825,ly2 ,love you to
2826,lya ,love you always
2827,lyaab ,Love you as a brother
2828,lyaaf ,Love you as a friend
2829,lyao ,laugh your ass off
2830,lybo ,laugh your butt off
2831,lyf ,life
2832,lyfao ,laughing your f**king ass off
2833,lyfe ,life
2834,lyk ,like
2835,lyk3 ,like
2836,lyke ,like
2837,lyl ,love you lots
2838,lylab ,love you like a brother
2839,lylaba ,love you like a brother always
2840,lylad ,love you like a dad
2841,lylafklc ,love you like a fat kid loves cake
2842,lylal ,love you lots and lots
2843,lylam ,love you like a mom
2844,lylas ,I love you like a sister
2845,lylasa ,love you like a sister always
2846,lylno ,Love you like no other
2847,lyls ,love you lots
2848,lymi ,love you mean it
2849,lysfm ,love you so f**king much
2850,lysm ,love you so much
2851,lyt ,love you too
2852,lyvm ,love you very much
2853,lzer ,laser
2854,lzr ,loser
2855,4mer ,former
2856,Fmup ,f**k me up
2857,m ,am
2858,m$ ,Microsoft
2859,m$wxp ,Microsoft Windows XP
2860,m&d ,mom and dad
2861,m'kay ,okay
2862,m.i.a ,Missing In Action
2863,m.o ,makeout
2864,m/b ,maybe
2865,m/f ,male or female
2866,m2 ,me too
2867,m3 ,me
2868,m473s ,friends
2869,m473z ,friends
2870,m4f ,male for female
2871,m4m ,male for male
2872,m8 ,friend
2873,m84l ,mate for life
2874,m8s ,mates
2875,m8t ,mate
2876,m8t's ,friends
2877,m9 ,mine
2878,mabby ,maybe
2879,mabe ,Maybe
2880,maga ,make America great again
2881,mah ,my
2882,mai ,my
2883,mao ,my ass off
2884,marvy ,marvelous
2885,masterb8 ,masterbate
2886,mastrb8 ,masturbate.
2887,mayb ,maybe
2888,mayte ,mate
2889,mb ,my bad
2890,mbf ,my best friend
2891,mbfal ,my best friend and lover
2892,mbhsm ,My Boobs Hurt So Much
2893,mbl8r ,Maybe Later
2894,MC ,master of ceremonies
2895,mcds ,mcdonalds
2896,Mcm ,Man crush Monday 
2897,mcs ,My computer sucks
2898,mcse ,Microsoft Certified Systems Engineer
2899,mdf ,my dear friend
2900,mdk ,murder death kill
2901,me2 ,me too
2902,meatcurtain ,woman's private parts
2903,meatspace ,the real world
2904,meeh ,me
2905,mego ,my eyes glaze over
2906,meh ,whatever
2907,messg ,message
2908,mf ,motherf**ker
2909,mf2f4sx ,meet face to face for sex
2910,mfa ,mother f**king a**h**e
2911,mfah ,motherf**king a**h**e
2912,mfao ,my f**king ass off
2913,mfb ,mother f**king b***h
2914,mfer ,motherf**ker
2915,mfg ,merge from current
2916,mfkr ,motherf**ker
2917,mflfs ,married female looking for sex
